# Create Data Lines In This Particular Order :
# x-coordinate Position , y-coordinate Position , x-coordinate Velocity , y-coordinate Velocity , Ball Color Red , Ball Color Blue , Ball Color Green , Ball Color Alpha
# Below is an example data provided
# Note: Always create comments using '#'

#100,200,100,20,10,0.12,0.36,0.73,1.0
#200,100,0,0,10,0.20,0.74,0.61,1.0
#200,300,0,10,10,0.35,0.40,0.45,1.0
#100,300,100,0,10,0.98,0.45,0.25,1.0
#67,67,100,90,10,0.67,0.40,0.82,1.0

100,100, 120,50, 12, 1.0,0.2,0.2,1.0
140,120, -80,40, 10, 0.2,1.0,0.2,1.0
180,140, 60,-90, 14, 0.2,0.2,1.0,1.0
220,160, -110,70, 11, 1.0,1.0,0.2,1.0
260,180, 90,-30, 13, 1.0,0.2,1.0,1.0

300,200, -70,110, 12, 0.2,1.0,1.0,1.0
340,220, 100,-60, 10, 0.9,0.5,0.2,1.0
380,240, -130,20, 15, 0.3,0.8,0.9,1.0
420,260, 50,80, 11, 0.8,0.3,0.7,1.0
460,280, -90,-100, 13, 0.4,0.9,0.4,1.0

500,300, 70,40, 12, 0.7,0.7,0.2,1.0
540,320, -60,90, 10, 0.3,0.6,0.9,1.0
580,340, 110,-70, 14, 0.9,0.4,0.4,1.0
620,360, -120,60, 11, 0.4,0.9,0.6,1.0
660,380, 80,-40, 13, 0.6,0.3,0.9,1.0

700,400, -50,100, 12, 0.2,0.8,0.4,1.0
740,420, 130,-80, 10, 0.8,0.2,0.2,1.0
780,440, -90,30, 14, 0.5,0.9,0.2,1.0
820,460, 60,70, 11, 0.2,0.5,0.9,1.0
860,480, -110,-60, 13, 0.9,0.2,0.6,1.0

900,500, 40,120, 12, 0.3,0.7,0.7,1.0
940,520, -70,-90, 10, 0.7,0.3,0.3,1.0
980,540, 100,50, 14, 0.4,0.4,0.9,1.0
1020,560, -120,80, 11, 0.9,0.6,0.2,1.0
1060,580, 90,-40, 13, 0.6,0.9,0.3,1.0

1100,600, -60,110, 12, 0.2,0.6,0.8,1.0
1140,620, 130,-70, 10, 0.8,0.4,0.6,1.0
1180,640, -100,60, 14, 0.5,0.2,0.8,1.0
1220,660, 70,-90, 11, 0.9,0.9,0.2,1.0
1260,680, -40,40, 13, 0.3,0.8,0.5,1.0

200,500, 90,-110, 12, 0.8,0.3,0.4,1.0
240,460, -120,70, 10, 0.4,0.8,0.3,1.0
280,420, 60,100, 14, 0.2,0.4,0.9,1.0
320,380, -90,-60, 11, 0.7,0.5,0.8,1.0
360,340, 110,50, 13, 0.6,0.2,0.5,1.0

400,300, -70,90, 12, 0.5,0.7,0.3,1.0
440,260, 120,-80, 10, 0.9,0.3,0.7,1.0
480,220, -100,40, 14, 0.3,0.9,0.8,1.0
520,180, 80,60, 11, 0.8,0.6,0.2,1.0
560,140, -60,-100, 13, 0.4,0.5,0.9,1.0
